NAMES,PRICES,RATINGS,IMAGES
"OPPO K13 5G with 7000mAh and 80W SUPERVOOC Charger In-The-Box (Prism Black, 256 GB)","₹19,999",4.5,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/y/l/1/-original-imahbfd4cgh53kmh.jpeg?q=70
"vivo T4R 5G (Arctic White, 256 GB)","₹21,499",4.5,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/m/q/3/-original-imahfkvfzynqjjwz.jpeg?q=70
"realme P3 Ultra 5G (Neptune Blue, 256 GB)","₹19,999",4.4,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/y/s/z/-original-imahadrumpq2wpeg.jpeg?q=70
"Infinix Note 50s 5G+ (Titanium Grey, 128 GB)","₹14,999",4.4,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/a/x/a/note-50s-5g-x6870-infinix-original-imahed76tuzgybtk.jpeg?q=70
"MOTOROLA Edge 60 Fusion 5G (PANTONE Amazonite, 256 GB)","₹19,999",4.4,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/x/7/t/-original-imahgqnz4hjyk6fh.jpeg?q=70
"Infinix NOTE 50s 5G+ 45W Charger In the Box & AI (Mystic Plum, 128 GB)","₹14,999",4.4,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/t/k/9/-original-imahfdagwznwyjud.jpeg?q=70
"REDMI Note 14 SE 5G (Titan Black, 128 GB)","₹12,999",4.3,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/l/m/t/-original-imahg2z9zggggbgq.jpeg?q=70
"Samsung Galaxy A35 5G (Awesome Iceblue, 256 GB)","₹19,999",4.4,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/o/j/d/-original-imahgy25zuwqzzye.jpeg?q=70
"Samsung Galaxy A35 5G (Awesome Lilac, 128 GB)","₹17,999",4.4,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/2/s/8/-original-imahgy26fu3z2hez.jpeg?q=70
"realme P3 Lite 5G Charger in the Box (Midnight Lily, 128 GB)","₹10,749",4.5,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/a/f/t/-original-imahfsgv98qsukvz.jpeg?q=70
"realme P3 Lite 5G Charger in the Box (Lily White, 128 GB)","₹10,749",4.5,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/g/o/v/-original-imahfsgvr6fvsczs.jpeg?q=70
"vivo T4R 5G (Arctic White, 256 GB)","₹21,499",4.5,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/m/q/3/-original-imahfkvfzynqjjwz.jpeg?q=70
"vivo T4x 5G (Glacial Teal, 128 GB)","₹13,499",4.4,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/n/k/r/-original-imahfhudssrdghcz.jpeg?q=70
"realme P4 Pro 5G (Birch Wood, 128 GB)","₹22,999",4.4,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/q/b/o/-original-imahfghxxmadhjm4.jpeg?q=70
